Evaluation_Index,Avg_Mean,Avg_Best
0,-103.71626666666667,-25.15333333333334
1,-74.10266666666668,-22.046666666666667
2,-62.25916666666668,-19.666666666666668
3,-54.66273333333334,-18.273333333333333
4,-48.04246666666667,-16.44
5,-42.10946666666666,-15.493333333333332
6,-36.984466666666655,-14.413333333333332
7,-32.861866666666664,-13.713333333333333
8,-29.446000000000005,-12.513333333333334
9,-26.766700000000004,-12.046666666666665
10,-24.37356666666666,-11.22
11,-22.177266666666664,-10.613333333333337
12,-20.23536666666666,-10.233333333333336
13,-18.578666666666667,-9.593333333333334
14,-17.117633333333337,-9.266666666666667
15,-15.773200000000001,-9.066666666666666
16,-14.632766666666665,-8.726666666666665
17,-13.675866666666666,-8.266666666666667
18,-12.863033333333334,-8.2
