Evaluation_Index,Avg_Mean,Avg_Best
0,-103.22313333333332,-24.226666666666667
1,-94.18249999999999,-24.74
2,-87.96846666666667,-23.85333333333333
3,-82.62313333333333,-23.52
4,-79.58879999999999,-22.973333333333336
5,-76.76516666666666,-22.953333333333333
6,-74.96666666666667,-23.53333333333334
7,-73.78359999999999,-22.806666666666665
8,-72.65239999999999,-22.533333333333335
9,-70.63836666666666,-22.68666666666667
10,-69.98593333333334,-22.113333333333337
11,-69.63766666666668,-22.266666666666666
12,-68.83896666666666,-21.67333333333334
13,-68.06883333333334,-21.413333333333334
14,-66.90339999999999,-21.95333333333333
15,-65.93490000000001,-21.480000000000008
16,-64.88043333333333,-21.113333333333337
17,-64.21736666666666,-20.38
18,-63.34593333333333,-20.493333333333332
