Evaluation_Index,Avg_Mean,Avg_Best
0,-103.6401,-25.813333333333336
1,-76.7772,-23.90666666666667
2,-65.33146666666667,-22.319999999999997
3,-58.28436666666668,-19.626666666666665
4,-53.236,-18.813333333333333
5,-49.22680000000001,-17.959999999999997
6,-45.87103333333334,-16.87333333333333
7,-42.91973333333333,-16.400000000000002
8,-40.23783333333334,-15.766666666666667
9,-37.62396666666667,-15.24
10,-35.15356666666667,-14.659999999999998
11,-32.78286666666666,-14.393333333333329
12,-30.555733333333333,-13.946666666666665
13,-28.634566666666668,-13.326666666666664
14,-27.087800000000005,-12.673333333333334
15,-25.804066666666667,-12.459999999999999
16,-24.6491,-12.086666666666666
17,-23.60833333333333,-11.933333333333334
18,-22.66476666666666,-11.599999999999998
