----------run:0-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -101.299          -23             0.20710788519012382
1               300                -77.438           -23             0.20475310817756617
2               400                -67.769           -23             0.20623598673533564
3               500                -62.744           -23             0.20419092205385397
4               600                -60.007           -23             0.20505740917801246
5               700                -57.221           -23             0.20102931052576092
6               800                -55.153           -23             0.19968375010398048
7               900                -53.282           -23             0.20160326817996393
8               1000               -51.325           -23             0.20295964652806536
9               1100               -49.271           -23             0.2039799441351567
10              1200               -48.055           -23             0.20282154814756395
11              1300               -46.697           -23             0.20307543604080172
12              1400               -45.692           -23             0.20402563652010902
13              1500               -45.143           -23             0.20447528431180448
14              1600               -44.814           -23             0.20461063928437093
15              1700               -44.19            -23             0.20302021301209053
16              1800               -43.615           -23             0.20292018198774142
17              1900               -42.677           -16.8           0.20542882502252022
18              2000               -42.461           -16.8           0.20447337827109338
----------run:1-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -102.874          -17.4           0.19220020065666346
1               300                -78.96            -17.4           0.19487324351187965
2               400                -69.383           -17.4           0.20280261137314448
3               500                -64.386           -17.4           0.2037219994745752
4               600                -59.78            -17.4           0.20432245641306082
5               700                -57.251           -17.4           0.20227192542198635
6               800                -54.188           -17.4           0.2052446668261094
7               900                -52.466           -17.4           0.20380270454630636
8               1000               -50.438           -12             0.20265314807527618
9               1100               -49.101           -12             0.20163320317025654
10              1200               -47.353           -12             0.2035051138717071
11              1300               -46.425           -12             0.2038443192829105
12              1400               -45.429           -12             0.20584845150701084
13              1500               -44.581           -12             0.20455881361847558
14              1600               -43.903           -12             0.20531988329601644
15              1700               -43.221           -12             0.20712073315649965
16              1800               -42.805           -12             0.20687416656758076
17              1900               -42.248           -12             0.20605350245359078
18              2000               -41.783           -12             0.20627449877863732
----------run:2-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -103.913          -22.2           0.1990523746823721
1               300                -76.407           -22.2           0.2001323108152756
2               400                -67.553           -22.2           0.20429800917097637
3               500                -61.454           -22.2           0.20345448756073573
4               600                -57.727           -22.2           0.20230299068806695
5               700                -54.924           -22.2           0.20243237045391346
6               800                -52.801           -22.2           0.2004173952784537
7               900                -51.305           -22.2           0.1996155322437742
8               1000               -49.938           -22.2           0.20027208732829044
9               1100               -48.511           -22.2           0.20061722613393423
10              1200               -47.329           -22.2           0.2003168043952615
11              1300               -46.8             -18.6           0.20120696480790512
12              1400               -45.518           -18.6           0.2038010301766683
13              1500               -44.981           -18.6           0.20354970803219313
14              1600               -44.322           -18.6           0.20304637454966012
15              1700               -43.651           -18.6           0.20448744761826979
16              1800               -42.504           -18.6           0.2067776399287207
17              1900               -42.132           -18.6           0.20654010517248234
18              2000               -41.211           -18.6           0.2064572589472439
----------run:3-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -98.099           -32             0.202839559620836
1               300                -74.924           -31.4           0.20317536484064197
2               400                -67.185           -31.4           0.20646367175431404
3               500                -62.951           -31.4           0.20300181892073965
4               600                -59.563           -31.4           0.204157430171878
5               700                -56.993           -15             0.20298767732666168
6               800                -53.725           -15             0.2024666569131286
7               900                -52.152           -15             0.2016767608816082
8               1000               -49.917           -15             0.2003337386007547
9               1100               -48.466           -15             0.19878009161074897
10              1200               -46.744           -15             0.19951584095223446
11              1300               -45.465           -15             0.20061626646129788
12              1400               -44.623           -15             0.20049677805690436
13              1500               -43.695           -15             0.19970668829712437
