----------run:0-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -102.942          -25.8           0.2            
1               300                -78.848           -22.8           0.7531113353514969
2               400                -69.753           -22.8           0.6185770750988143
3               500                -62.875           -22.8           0.6085918854415274
4               600                -59.056           -22.8           0.6073446327683616
5               700                -56.48            -22.8           0.5964360587002095
6               800                -53.939           -22.8           0.607909604519774
7               900                -51.927           -22.8           0.5985401459854014
8               1000               -49.962           -22.8           0.59765625     
9               1100               -48.787           -22.8           0.6072874493927125
10              1200               -46.976           -18.4           0.6082621082621082
11              1300               -46.469           -18.4           0.5754189944134079
12              1400               -45.574           -18.4           0.5726618705035972
13              1500               -44.605           -18.4           0.5745937961595273
14              1600               -43.908           -18.4           0.5807926829268293
15              1700               -43.445           -18.4           0.5741029641185648
16              1800               -43.186           -18.4           0.5802861685214628
17              1900               -42.769           -18.4           0.5794542536115569
18              2000               -42.297           -18.4           0.5765472312703583
----------run:1-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -104.282          -23             0.2            
1               300                -77.313           -23             0.7816339066339066
2               400                -66.467           -23             0.6522292993630574
3               500                -60.378           -19.4           0.6227045075125209
4               600                -56.537           -19.4           0.5765158806544756
5               700                -53.432           -19.4           0.5887949260042283
6               800                -51.86            -19.4           0.5942196531791906
7               900                -49.583           -19.4           0.5835380835380837
8               1000               -48.071           -19.4           0.5816062176165804
9               1100               -46.949           -19.4           0.5886332882273344
10              1200               -46.104           -19.4           0.5839210155148098
11              1300               -45.503           -19.4           0.5724852071005917
12              1400               -44.806           -18.6           0.5794251134644479
13              1500               -44.095           -18.6           0.5718654434250764
14              1600               -43.458           -18.6           0.5774647887323944
15              1700               -42.609           -18.6           0.5777777777777777
16              1800               -41.871           -13             0.5837398373983739
17              1900               -41.199           -13             0.5362537764350452
18              2000               -40.561           -13             0.540581929555896
----------run:2-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -98.477           -25.2           0.2            
1               300                -75.805           -20             0.7879973907371167
2               400                -65.953           -20             0.6357744653272845
3               500                -61.138           -20             0.6045531197301857
4               600                -57.022           -20             0.6018867924528302
5               700                -53.563           -15             0.594989561586639
6               800                -51.675           -15             0.5569755058572949
7               900                -49.561           -15             0.5487528344671202
8               1000               -48.877           -15             0.5457875457875457
9               1100               -47.368           -15             0.5518102372034956
10              1200               -46.661           -15             0.5383597883597884
11              1300               -45.338           -15             0.5502008032128514
12              1400               -44.228           -15             0.5679012345679013
13              1500               -43.522           -15             0.5565092989985694
14              1600               -42.872           -15             0.5550660792951541
15              1700               -42.387           -15             0.546969696969697
16              1800               -41.719           -15             0.5499231950844854
17              1900               -41.117           -15             0.550314465408805
18              2000               -40.927           -15             0.5534290271132376
----------run:3-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -107.978          -32             0.2            
1               300                -78.577           -32             0.7804097311139565
2               400                -67.51            -19             0.6709200805910006
3               500                -62.404           -19             0.5966719492868462
4               600                -58.541           -19             0.5949367088607596
5               700                -54.569           -19             0.5969849246231156
6               800                -51.619           -19             0.5953436807095343
7               900                -50.174           -18             0.5922444183313749
8               1000               -48.608           -18             0.5642946317103621
9               1100               -47.429           -18             0.5620915032679739
10              1200               -46.51            -18             0.564625850340136
11              1300               -45.995           -18             0.561181434599156
12              1400               -45.419           -18             0.5612535612535612
13              1500               -44.703           -18             0.5584795321637428
14              1600               -43.852           -18             0.56006006006006
15              1700               -43.397           -18             0.5698924731182795
16              1800               -42.473           -18             0.5665101721439749
17              1900               -42.071           -18             0.5757575757575757
18              2000               -41.709           -18             0.575609756097561
----------run:4-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -108.363          -35             0.2            
1               300                -82.826           -23             0.7999374804626446
2               400                -71.851           -23             0.6434155141310884
3               500                -66.123           -23             0.6062992125984252
4               600                -62.278           -23             0.5957446808510639
5               700                -59.464           -15             0.5760082730093071
6               800                -58.072           -15             0.5307150050352467
7               900                -55.673           -15             0.5329153605015673
8               1000               -53.42            -15             0.5317982456140351
9               1100               -51.298           -15             0.5281690140845069
10              1200               -49.954           -15             0.5454545454545454
11              1300               -48.559           -15             0.5497512437810945
12              1400               -47.332           -15             0.5398692810457516
13              1500               -46.298           -15             0.5368852459016393
14              1600               -45.275           -15             0.5364145658263306
15              1700               -44.748           -15             0.5324675324675325
16              1800               -44.208           -15             0.5418502202643171
17              1900               -43.701           -15             0.5345345345345345
18              2000               -42.767           -15             0.5286821705426357
----------run:5-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -107.035          -33             0.2            
1               300                -78.967           -32.6           0.7747008547008547
2               400                -69.722           -28.6           0.6725105189340813
3               500                -65.342           -15             0.62778730703259
4               600                -60.745           -15             0.5447570332480819
5               700                -58.328           -15             0.550561797752809
6               800                -56.199           -15             0.5415415415415415
7               900                -54.455           -15             0.5548589341692789
8               1000               -52.638           -15             0.5445544554455445
9               1100               -50.855           -15             0.5563218390804597
10              1200               -49.248           -15             0.5458937198067634
11              1300               -47.543           -15             0.5488721804511278
12              1400               -46.662           -15             0.5533854166666667
13              1500               -45.529           -15             0.5470430107526882
14              1600               -44.727           -15             0.5409604519774012
15              1700               -44.243           -15             0.5483405483405484
16              1800               -43.723           -14.6           0.5418502202643171
17              1900               -43.199           -14.6           0.5337331334332834
18              2000               -42.564           -14.6           0.5404580152671755
----------run:6-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -108.596          -27.6           0.2            
1               300                -79.04            -27             0.7807920174618024
2               400                -68.749           -27             0.6766169154228856
3               500                -62.435           -27             0.6321548821548822
4               600                -58.725           -27             0.6263520157325466
5               700                -54.788000000000004 -26.2           0.6239035087719298
6               800                -52.451           -22             0.645858343337335
7               900                -50.774           -22             0.6070133010882708
8               1000               -49.349000000000004 -22             0.6050955414012739
9               1100               -47.877           -22             0.6058981233243967
10              1200               -46.926           -22             0.6169014084507042
11              1300               -45.778           -22             0.6124818577648766
12              1400               -44.664           -22             0.5984251968503937
13              1500               -43.935           -22             0.6045380875202593
14              1600               -43.476           -22             0.6148760330578512
15              1700               -42.62            -22             0.6140939597315436
16              1800               -41.654           -20             0.6121739130434782
17              1900               -41.161           -19.6           0.6            
18              2000               -40.752           -19.6           0.5934256055363322
----------run:7-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -103.437          -23.4           0.2            
1               300                -79.999           -23.4           0.75199203187251
2               400                -70.571           -23.4           0.6386233269598471
3               500                -63.215           -23.4           0.617601246105919
4               600                -59.261           -22             0.6073446327683617
5               700                -56.351           -22             0.5857438016528926
6               800                -53.213           -22             0.5907553551296505
7               900                -51.73            -22             0.5985489721886336
8               1000               -50.125           -22             0.5933503836317136
9               1100               -48.928           -22             0.5951742627345845
10              1200               -47.904           -22             0.5932678821879384
11              1300               -46.998           -15             0.6008708272859216
12              1400               -45.879           -15             0.5443548387096775
13              1500               -45.111           -15             0.5416666666666666
14              1600               -44.264           -15             0.5390070921985816
15              1700               -43.401           -15             0.544395924308588
16              1800               -42.688           -15             0.550595238095238
17              1900               -42.033           -15             0.547945205479452
18              2000               -41.587           -15             0.5534883720930233
----------run:8-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -108.42           -23             0.2            
1               300                -80.0             -23             0.7710805746408496
2               400                -68.416           -23             0.6388550548112057
3               500                -62.784           -15.6           0.6232821341956345
4               600                -58.117           -15.6           0.5714285714285714
5               700                -55.223           -15.6           0.5750487329434697
6               800                -53.155           -15.6           0.5548455804046858
7               900                -51.314           -15.6           0.5536912751677852
